team_id,team_name.x,gp,w,l,w_pct,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,season_type,team_abbreviation,team_logo,team_name.y,def_impact_base,defensive_impact,clutch_win_pct,off_rating_reg,def_rating_reg,net_rating_reg,delta_off,delta_def,delta_net,clutch_improvement,is_top_performer,is_bottom_performer,category
1610612737,Atlanta Hawks,43,19,24,0.442,70,118.1,110.1,120.1,110.3,-1.9,-0.2,0.383,1.06,8.1,0.374,0.607,0.486,0.101,0.446,0.566,112.2,121.31,101.09,169,0.459,1,6,28,22,3,11,18,13,29,23,29,12,21,18,13,23,16,16,15,Regular Season,NA,NA,NA,9.700000000000003,4.750000000000002,0.4418604651162791,116.4,118.4,-2,-6.300000000000011,8.100000000000009,1.8,4.950000000000005,FALSE,FALSE,Others
1610612738,Boston Celtics,31,19,12,0.613,60,126.4,118,94.6,89.9,31.8,28.1,0.674,2.58,15.8,0.386,0.639,0.523,0.086,0.514,0.604,100.9,107.21,89.34,139,0.744,20,6,3,5,12,6,2,2,4,3,3,10,17,8,9,7,7,30,2,Regular Season,NA,NA,NA,30.099999999999994,29.099999999999998,0.6129032258064516,122.2,110.6,11.7,-4.200000000000003,20.69999999999999,16.400000000000002,18.549999999999997,TRUE,FALSE,Top Performers
1610612751,Brooklyn Nets,32,14,18,0.438,65,107.7,103.4,122.3,112.5,-14.6,-9.1,0.396,1.4,9.6,0.304,0.649,0.462,0.086,0.451,0.535,119.1,126.61,105.51,174,0.437,17,24,19,24,6,19,22,23,28,16,25,26,14,26,8,21,23,4,19,Regular Season,NA,NA,NA,7.5,-0.7999999999999998,0.4375,112.4,115.4,-2.9,-9,2.9000000000000057,-6.199999999999999,-1.6499999999999968,FALSE,FALSE,Others
1610612766,Charlotte Hornets,31,15,16,0.484,51,107.5,100.8,108.7,106.2,-1.2,-5.3,0.5,1.29,12.2,0.192,0.603,0.409,0.115,0.476,0.578,114.2,119.24,99.37,122,0.438,20,21,13,18,24,21,14,20,16,18,16,30,23,29,16,18,12,19,17,Regular Season,NA,NA,NA,13.799999999999997,4.249999999999998,0.4838709677419355,108.6,119.2,-10.6,-7.799999999999997,13,5.3,9.15,FALSE,FALSE,Others
1610612741,Chicago Bulls,38,24,14,0.632,89,121.3,115.4,91.4,89.7,29.9,25.7,0.479,2.19,12.5,0.283,0.648,0.467,0.072,0.5,0.595,113.7,117.68,98.07,221,0.711,3,1,7,3,1,9,1,4,22,6,15,29,15,24,3,9,9,21,4,Regular Season,NA,NA,NA,30.299999999999997,28,0.631578947368421,114,115.7,-1.7,1.4000000000000057,26,27.4,26.7,TRUE,FALSE,Top Performers
1610612739,Cleveland Cavaliers,35,19,16,0.543,60,106.8,101.4,119.6,112.9,-12.8,-11.5,0.628,0.96,13.6,0.368,0.667,0.508,0.189,0.505,0.584,109.9,116.11,96.76,148,0.393,10,6,13,11,13,20,23,24,5,24,9,13,9,12,29,8,11,23,26,Regular Season,NA,NA,NA,7.099999999999994,-2.200000000000003,0.5428571428571428,114.7,112.1,2.5,-13.299999999999997,-0.8000000000000114,-14,-7.400000000000006,FALSE,TRUE,Bottom Performers
1610612742,Dallas Mavericks,26,18,8,0.692,43,138.1,128.3,105.6,98.1,32.5,30.2,0.756,3.44,19.7,0.326,0.661,0.515,0.08,0.595,0.684,113.1,121.76,101.47,113,0.77,29,12,1,2,28,2,5,1,1,1,1,23,11,10,5,2,2,13,1,Regular Season,NA,NA,NA,21.900000000000006,26.050000000000004,0.6923076923076923,117,114.9,2.1,11.300000000000011,16.80000000000001,28.099999999999998,22.450000000000003,TRUE,FALSE,Top Performers
1610612743,Denver Nuggets,38,24,14,0.632,57,124.9,118.5,102.3,97.1,22.6,21.4,0.547,1.45,14.4,0.39,0.746,0.585,0.132,0.583,0.652,115.3,121.45,101.21,151,0.698,3,1,7,3,17,5,4,6,12,14,5,8,3,3,22,3,3,15,5,Regular Season,NA,NA,NA,22.900000000000006,22.150000000000002,0.631578947368421,117.8,112.3,5.5,0.7000000000000028,15.200000000000003,15.899999999999999,15.55,TRUE,FALSE,Top Performers
1610612765,Detroit Pistons,26,4,22,0.154,41,89.5,82.3,133.6,123.8,-44.1,-41.5,0.44,0.79,8.9,0.315,0.725,0.489,0.146,0.418,0.48,109.6,118.74,98.95,96,0.188,29,30,26,30,29,29,30,30,25,28,27,24,4,15,23,26,29,20,29,Regular Season,NA,NA,NA,-3.799999999999997,-22.65,0.15384615384615385,109,118,-9,-26.700000000000003,-5.799999999999997,-32.5,-19.15,FALSE,TRUE,Bottom Performers
1610612744,Golden State Warriors,40,18,22,0.45,68,121,115.2,127.3,116.1,-6.3,-0.9,0.538,2.92,14,0.406,0.571,0.476,0.067,0.497,0.559,115.2,123.59,102.99,178,0.429,2,12,26,21,4,10,27,14,13,2,7,4,26,21,1,11,18,8,21,Regular Season,NA,NA,NA,3.9000000000000057,1.5000000000000029,0.45,116.9,114.5,2.4,-1.7000000000000028,-1.5999999999999943,-3.3,-2.449999999999997,FALSE,FALSE,Others
