Season,Week,Away,Home,Day of Game,Home Spread,Score - Away,Score - Home,Spread Winner
2025,Week_01,DAL,PHI,,-7.5,20,24,DAL
2025,Week_01,KC,LAC,,2.5,21,27,LAC
2025,Week_01,CIN,CLE,,5.5,17,16,CLE
2025,Week_01,NYG,WAS,,-5.5,6,21,WAS
2025,Week_01,PIT,NYJ,,2.5,34,32,NYJ
2025,Week_01,TB,ATL,,2.5,23,20,TB
2025,Week_01,ARI,NO,,6.5,20,13,ARI
2025,Week_01,CAR,JAX,,-3.5,10,33,JAX
2025,Week_01,MIA,IND,,-1.5,8,33,IND
2025,Week_01,LV,NE,,-2.5,20,14,LV
2025,Week_01,TEN,DEN,,-8.5,12,20,TEN
2025,Week_01,SF,SEA,,2.5,17,13,SF
2025,Week_01,DET,GB,,-2.5,13,27,GB
2025,Week_01,HOU,LAR,,-2.5,9,14,LAR
2025,Week_01,BAL,BUF,,-1.5,40,41,BAL
2025,Week_01,MIN,CHI,,1.5,27,24,MIN
2025,Week_02,WAS,GB,,-3.5,18,27,GB
2025,Week_02,CLE,BAL,,-12.5,17,41,BAL
2025,Week_02,JAX,CIN,,-3.5,27,31,CIN
2025,Week_02,NYG,DAL,,-5.5,37,40,NYG
2025,Week_02,CHI,DET,,-4.5,21,52,DET
2025,Week_02,NE,MIA,,-1.5,33,27,NE
2025,Week_02,SF,NO,,4.5,26,21,SF
2025,Week_02,BUF,NYJ,,7.5,30,10,BUF
2025,Week_02,SEA,PIT,,-3.5,31,17,SEA
2025,Week_02,LAR,TEN,,5.5,33,19,LAR
2025,Week_02,CAR,ARI,,-6.5,22,27,CAR
2025,Week_02,DEN,IND,,2.5,28,29,IND
2025,Week_02,PHI,KC,,1.5,20,17,PHI
2025,Week_02,ATL,MIN,,-5.5,22,6,ATL
2025,Week_02,TB,HOU,,-2.5,20,19,TB
2025,Week_02,LAC,LV,,3.5,20,9,LAC
2025,Week_03,MIA,BUF,,-12.5,21,31,MIA
2025,Week_03,ATL,CAR,,5.5,0,30,CAR
2025,Week_03,GB,CLE,,8.5,10,13,CLE
2025,Week_03,HOU,JAX,,-1.5,10,17,JAX
2025,Week_03,CIN,MIN,,-3.5,10,48,MIN
2025,Week_03,PIT,NE,,1.5,21,14,PIT
2025,Week_03,LAR,PHI,,-3.5,26,33,PHI
2025,Week_03,NYJ,TB,,-7.5,27,29,NYJ
2025,Week_03,IND,TEN,,3.5,41,20,IND
2025,Week_03,LV,WAS,,-3.5,24,41,WAS
2025,Week_03,DEN,LAC,,-2.5,20,23,LAC
2025,Week_03,NO,SEA,,-7.5,13,44,SEA
2025,Week_03,DAL,CHI,,-1.5,14,31,CHI
2025,Week_03,ARI,SF,,-1.5,15,16,ARI
2025,Week_03,KC,NYG,,6.5,22,9,KC
2025,Week_03,DET,BAL,,-4.5,38,30,DET
2025,Week_04,SEA,ARI,,-1.5,23,20,SEA
2025,Week_04,MIN,PIT,,2.5,21,24,PIT
2025,Week_04,WAS,ATL,,1.5,27,34,ATL
2025,Week_04,NO,BUF,,-18.5,19,31,NO
2025,Week_04,CLE,DET,,-8.5,10,34,DET
2025,Week_04,TEN,HOU,,-7.5,0,26,HOU
2025,Week_04,CAR,NE,,-5.5,13,42,NE
2025,Week_04,PHI,TB,,3.5,31,25,PHI
2025,Week_04,LAC,NYG,,6.5,18,21,NYG
2025,Week_04,IND,LAR,,-3.5,20,27,LAR
2025,Week_04,JAX,SF,,-3.5,26,21,JAX
2025,Week_04,BAL,KC,,2.5,20,37,KC
2025,Week_04,CHI,LV,,1.5,25,24,LV
2025,Week_04,GB,DAL,,7.5,40,40,DAL
2025,Week_04,NYJ,MIA,,-2.5,21,27,MIA
2025,Week_04,CIN,DEN,,-7.5,3,28,DEN
2025,Week_05,SF,LAR,,-5.5,26,23,SF
2025,Week_05,MIN,CLE,,4.5,21,17,CLE
2025,Week_05,HOU,BAL,,-3.5,44,10,HOU
2025,Week_05,MIA,CAR,,-1.5,24,27,CAR
2025,Week_05,LV,IND,,-6.5,6,40,IND
2025,Week_05,NYG,NO,,-1.5,14,26,NO
2025,Week_05,DAL,NYJ,,2.5,37,22,DAL
2025,Week_05,DEN,PHI,,-4.5,21,17,DEN
2025,Week_05,TEN,ARI,,-8.5,22,21,TEN
2025,Week_05,TB,SEA,,-3.5,38,35,TB
2025,Week_05,DET,CIN,,10.5,37,24,DET
2025,Week_05,WAS,LAC,,-2.5,27,10,WAS
2025,Week_05,NE,BUF,,-8.5,23,20,NE
2025,Week_05,KC,JAX,,3.5,28,31,JAX
2025,Week_06,PHI,NYG,,7.5,17,34,NYG
2025,Week_06,DEN,NYJ,,7.5,13,11,NYJ
2025,Week_06,LAR,BAL,,7.5,17,3,LAR
2025,Week_06,DAL,CAR,,3.5,27,30,CAR
2025,Week_06,ARI,IND,,-6.5,27,31,ARI
2025,Week_06,SEA,JAX,,-1.5,20,12,SEA
2025,Week_06,LAC,MIA,,4.5,29,27,MIA
2025,Week_06,NE,NO,,3.5,25,19,NE
2025,Week_06,CLE,PIT,,-5.5,9,23,PIT
2025,Week_06,TEN,LV,,-4.5,10,20,LV
2025,Week_06,CIN,GB,,-14.5,18,27,CIN
2025,Week_06,SF,TB,,-3.5,19,30,TB
2025,Week_06,DET,KC,,-2.5,17,30,KC
2025,Week_06,BUF,ATL,,4.5,14,24,ATL
2025,Week_06,CHI,WAS,,-4.5,25,24,CHI
2025,Week_07,PIT,CIN,,5.5,31,33,CIN
2025,Week_07,LAR,JAX,,3.5,35,7,LAR
2025,Week_07,NO,CHI,,-5.5,14,26,CHI
2025,Week_07,MIA,CLE,,-2.5,6,31,CLE
2025,Week_07,LV,KC,,-11.5,0,31,KC
2025,Week_07,PHI,MIN,,2.5,28,22,PHI
2025,Week_07,CAR,NYJ,,1.5,13,6,CAR
2025,Week_07,NE,TEN,,7.5,31,13,NE
2025,Week_07,NYG,DEN,,-7.5,32,33,NYG
2025,Week_07,IND,LAC,,-1.5,38,24,IND
2025,Week_07,GB,ARI,,6.5,27,23,ARI
2025,Week_07,WAS,DAL,,2.5,22,44,DAL
2025,Week_07,ATL,SF,,-2.5,10,20,SF
2025,Week_07,TB,DET,,-4.5,9,24,DET
2025,Week_07,HOU,SEA,,-2.5,19,27,SEA
2025,Week_08,MIN,LAC,,-3.5,,,
2025,Week_08,MIA,ATL,,-7.5,,,
2025,Week_08,CHI,BAL,,-6.5,,,
2025,Week_08,BUF,CAR,,7.5,,,
2025,Week_08,NYJ,CIN,,-6.5,,,
2025,Week_08,SF,HOU,,1.5,,,
2025,Week_08,CLE,NE,,-7.5,,,
2025,Week_08,NYG,PHI,,-7.5,,,
2025,Week_08,DAL,DEN,,-3.5,,,
2025,Week_08,TEN,IND,,-14.5,,,
2025,Week_08,TB,NO,,5.5,,,
2025,Week_08,GB,PIT,,3.5,,,
2025,Week_08,WAS,KC,,-10.5,,,
