SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,GP,MPG,GAMES,FIRST_GAME,LAST_GAME,OFFRTG_AVG,DEFRTG_AVG,NETRTG_AVG
2017-18,Alex Caruso,LAL,1627936,37,15.186756756756756,10,2017-10-19T00:00:00,2018-01-01T00:00:00,104.94,109.45,-4.5100000000000025
2017-18,Bam Adebayo,MIA,1628389,69,19.82876811594203,10,2017-10-18T00:00:00,2017-11-19T00:00:00,94.35,133.74,-39.39
2017-18,Ben Simmons,PHI,1627732,81,33.722880658436175,10,2017-10-18T00:00:00,2017-11-07T00:00:00,104.76,102.72,2.039999999999998
2017-18,Bogdan Bogdanović,SAC,203992,78,27.886602564102567,10,2017-10-23T00:00:00,2017-11-13T00:00:00,95.66,110.89,-15.23
2017-18,C.J. Williams,LAC,203710,38,18.592149122807026,10,2017-11-10T00:00:00,2017-12-03T00:00:00,90.03,84.91,5.119999999999999
2017-18,De'Aaron Fox,SAC,1628368,73,27.746986301369862,10,2017-10-18T00:00:00,2017-11-07T00:00:00,100.19,110.84,-10.649999999999999
2017-18,Dennis Smith Jr.,DAL,1628372,69,29.69717391304348,10,2017-10-18T00:00:00,2017-11-07T00:00:00,99.39,112.38,-12.989999999999998
2017-18,Dillon Brooks,MEM,1628415,82,28.65648373983744,10,2017-10-18T00:00:00,2017-11-05T00:00:00,105.61,92.73,12.879999999999999
2017-18,Donovan Mitchell,UTA,1628378,79,33.393797468354435,10,2017-10-18T00:00:00,2017-11-05T00:00:00,102.67,98.58,4.089999999999999
2017-18,Frank Mason III,SAC,1628412,52,18.92294871794871,10,2017-10-21T00:00:00,2017-11-20T00:00:00,105.01,109.74,-4.7299999999999995
2017-18,Frank Ntilikina,NYK,1628373,78,21.86728632478628,10,2017-10-19T00:00:00,2017-11-11T00:00:00,110.66,100.37,10.290000000000001
2017-18,Jarrett Allen,BKN,1628386,72,20.015486111111112,10,2017-10-20T00:00:00,2017-11-24T00:00:00,104.23,103.88,0.34999999999999504
2017-18,Jawun Evans,LAC,1628393,48,16.205381944444436,10,2017-10-30T00:00:00,2017-11-22T00:00:00,104.1,100.7,3.4
2017-18,Jayson Tatum,BOS,1628369,80,30.536395833333376,10,2017-10-17T00:00:00,2017-11-05T00:00:00,105.18,95.81,9.370000000000001
2017-18,John Collins,ATL,1628381,74,24.116486486486487,10,2017-10-18T00:00:00,2017-11-05T00:00:00,103.28,101.89,1.390000000000002
2017-18,Jonathan Isaac,ORL,1628371,27,19.830061728395073,10,2017-10-18T00:00:00,2017-11-08T00:00:00,101.02,101.67,-0.6499999999999986
2017-18,Josh Hart,LAL,1628404,63,23.18288359788365,10,2017-10-20T00:00:00,2017-11-08T00:00:00,91.39,95.32,-3.9299999999999984
2017-18,Josh Jackson,PHX,1628367,77,25.444393939393898,10,2017-10-18T00:00:00,2017-11-05T00:00:00,96.74,107.42,-10.679999999999998
