SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,PIE,USG_PCT,IS_ROOKIE,IS_TOP10_PICK,PLAYER_TYPE
2025,AJ Green,MIL,1631260,11,27.7,123.3,116.2,7.1,0.058,0.128,FALSE,FALSE,Veteran
2025,Aaron Gordon,DEN,203932,8,29.5,117.9,105,13,0.143,0.221,FALSE,FALSE,Veteran
2025,Aaron Nesmith,IND,1630174,9,31.4,106.2,112.3,-6.1,0.075,0.2,FALSE,FALSE,Veteran
2025,Aaron Wiggins,OKC,1630598,9,27.6,119.2,100.8,18.4,0.096,0.209,FALSE,FALSE,Veteran
2025,Ace Bailey,UTA,1642846,10,19.3,97.4,124.4,-27,0.043,0.178,TRUE,FALSE,Other Rookie
2025,Adem Bona,PHI,1641737,10,15.3,108.5,111.1,-2.6,0.043,0.076,FALSE,FALSE,Veteran
2025,Ajay Mitchell,OKC,1642349,11,28,116.6,99.2,17.3,0.137,0.245,FALSE,FALSE,Veteran
2025,Al Horford,GSW,201143,7,21.4,105,113.8,-8.8,0.049,0.148,FALSE,FALSE,Veteran
2025,Alex Caruso,OKC,1627936,7,21.3,118.2,96.8,21.3,0.078,0.137,FALSE,FALSE,Veteran
2025,Alex Sarr,WAS,1642259,11,29.2,108.3,122.5,-14.2,0.141,0.26,FALSE,FALSE,Veteran
2025,Alperen Sengun,HOU,1630578,9,37,125.5,109.9,15.6,0.146,0.258,FALSE,FALSE,Veteran
2025,Amen Thompson,HOU,1641708,9,35.6,121.9,108.2,13.6,0.107,0.215,FALSE,FALSE,Veteran
2025,Amir Coffey,MIL,1629599,11,10.3,105.3,115.7,-10.4,0.04,0.064,FALSE,FALSE,Veteran
2025,Andre Drummond,PHI,203083,9,18.6,120.4,112.4,8,0.13,0.126,FALSE,FALSE,Veteran
2025,Andrew Wiggins,MIA,203952,11,32.7,112.1,114.1,-2,0.095,0.203,FALSE,FALSE,Veteran
2025,Anfernee Simons,BOS,1629014,11,25.7,114.4,115.8,-1.4,0.085,0.226,FALSE,FALSE,Veteran
2025,Anthony Black,ORL,1641710,11,26.7,113.5,118.1,-4.6,0.064,0.188,FALSE,FALSE,Veteran
2025,Anthony Davis,DAL,203076,5,29.9,102.5,109.3,-6.8,0.17,0.278,FALSE,FALSE,Veteran
2025,Anthony Edwards,MIN,1630162,7,28.5,127.3,117.3,10,0.159,0.326,FALSE,FALSE,Veteran
2025,Asa Newell,ATL,1642854,5,11.6,106,96.6,9.4,0.136,0.212,TRUE,FALSE,Other Rookie
2025,Ausar Thompson,DET,1641709,10,29.1,116,108.8,7.2,0.111,0.203,FALSE,FALSE,Veteran
2025,Austin Reaves,LAL,1630559,8,36.8,122,112.6,9.4,0.178,0.297,FALSE,FALSE,Veteran
2025,Ayo Dosunmu,CHI,1630245,8,25.8,118.9,114.7,4.2,0.12,0.19,FALSE,FALSE,Veteran
2025,Bam Adebayo,MIA,1628389,8,30.4,117.7,107.5,10.2,0.134,0.26,FALSE,FALSE,Veteran
2025,Ben Saraf,BKN,1642879,6,15.7,122.2,135.2,-13,0.013,0.173,TRUE,FALSE,Other Rookie
2025,Ben Sheppard,IND,1641767,10,26.7,99.1,117.3,-18.1,0.049,0.138,FALSE,FALSE,Veteran
2025,Blake Wesley,POR,1631104,6,16.3,113.3,111.8,1.5,0.081,0.173,FALSE,FALSE,Veteran
2025,Bobby Portis,MIL,1626171,11,20.5,114.2,112,2.2,0.092,0.194,FALSE,FALSE,Veteran
2025,Bones Hyland,MIN,1630538,10,10,109.7,110.4,-0.7,0.093,0.186,FALSE,FALSE,Veteran
2025,Bradley Beal,LAC,203078,6,20.2,119.1,128.5,-9.3,0.018,0.224,FALSE,FALSE,Veteran
2025,Brandin Podziemski,GSW,1641764,11,29.1,112.4,106.1,6.3,0.096,0.178,FALSE,FALSE,Veteran
2025,Brandon Ingram,TOR,1627742,10,33.3,119.1,121.2,-2.2,0.118,0.251,FALSE,FALSE,Veteran
2025,Brandon Williams,DAL,1630314,9,18.4,106.1,100.8,5.3,0.099,0.243,FALSE,FALSE,Veteran
2025,Brice Sensabaugh,UTA,1641729,9,13.1,106.4,118.3,-11.9,0.089,0.219,FALSE,FALSE,Veteran
2025,Bronny James,LAL,1642355,7,12.7,109.4,110.7,-1.3,0.04,0.12,FALSE,FALSE,Veteran
2025,Brook Lopez,LAC,201572,10,15.9,106.3,114.6,-8.3,0.063,0.216,FALSE,FALSE,Veteran
2025,Bruce Brown,DEN,1628971,9,20.5,118.8,106.5,12.3,0.06,0.14,FALSE,FALSE,Veteran
2025,Bub Carrington,WAS,1642267,11,28.1,100.1,121.9,-21.8,0.046,0.142,FALSE,FALSE,Veteran
2025,Buddy Hield,GSW,1627741,11,17.4,108.5,115.9,-7.4,0.069,0.179,FALSE,FALSE,Veteran
2025,CJ McCollum,WAS,203468,11,29.3,109.8,123.4,-13.6,0.08,0.232,FALSE,FALSE,Veteran
2025,Cade Cunningham,DET,1630595,11,37,117.7,109.4,8.3,0.152,0.308,FALSE,FALSE,Veteran
2025,Cam Christie,LAC,1642353,7,12.3,113.7,104.8,8.9,0.127,0.194,FALSE,FALSE,Veteran
2025,Cam Spencer,MEM,1642285,11,17.6,108.7,108.7,0,0.12,0.196,FALSE,FALSE,Veteran
